城市名称,年份,urbanizationRate
city27,2010,68
city27,2011,69
city27,2012,70
city27,2013,70
city27,2014,70
city27,2015,69
city27,2016,69
city27,2017,69
city27,2018,70
city27,2019,70
city27,2020,71
city27,2021,71
city28,2003,35
city28,2004,36
city28,2005,64
city28,2006,61
city28,2007,61
city28,2008,61
city28,2009,63
city28,2010,63
city28,2011,63
city28,2012,63
city28,2013,68
city28,2014,68
city28,2015,70
city28,2016,72
city28,2017,73
city28,2018,74
city28,2019,74
city28,2020,76
city28,2021,77
city28,2022,77
city29,2006,51
city29,2007,51
city29,2008,51
city29,2009,52
city29,2010,56
city29,2011,56
city29,2012,57
city29,2013,58
city29,2014,60
city29,2015,60
city29,2016,61
city29,2017,62
city29,2018,63
city29,2019,64
city29,2020,62
city29,2021,63
city29,2022,64
city30,2021,62
city30,2020,62
city30,2019,61
city30,2018,63
city30,2017,62
city30,2016,60
city30,2015,59
city30,2014,57
city30,2013,56
city30,2012,54
city30,2011,53
city30,2010,52
city30,2009,43
city30,2008,42
city30,2007,41
city30,2006,39
city31,2005,57
city31,2006,49
city31,2007,49
city31,2008,49
city31,2009,50
city31,2010,62
city31,2011,63
city31,2012,63
city31,2013,64
city31,2014,64
city31,2015,64
city31,2016,64
city31,2017,64
city31,2018,65
city31,2019,66
city31,2020,68
city31,2021,68
city32,2003,44
city32,2004,44
city32,2005,44
city32,2006,44
city32,2007,44
city32,2008,44
city32,2009,43
city32,2010,43
city32,2011,47
city32,2012,47
city32,2013,65
city32,2014,66
city32,2015,67
city32,2016,69
city32,2017,70
city32,2018,71
city32,2019,72
city32,2020,74
city32,2021,75
city32,2022,75
city33,2006,60
city33,2007,60
city33,2008,61
city33,2009,61
city33,2010,66
city33,2011,66
city33,2012,67
city33,2013,67
city33,2014,67
city33,2015,68
city33,2016,69
city33,2017,70
city33,2018,70
city33,2019,71
city33,2020,72
city33,2021,73
city33,2022,74
city34,2021,65
city34,2020,64
city34,2019,63
city34,2018,64
city34,2017,63
city34,2016,62
city34,2015,60
city34,2014,59
city34,2013,57
city34,2012,56
city34,2011,54
city34,2010,53
city34,2009,46
city34,2008,45
city34,2007,44
city34,2006,43
city35,2005,40
city35,2006,39
city35,2007,39
city35,2008,39
city35,2009,39
city35,2010,37
city35,2011,37
city35,2012,38
city35,2013,39
city35,2014,40
city35,2015,39
city35,2016,39
city35,2017,40
city35,2018,41
city35,2019,43
city35,2020,45
city35,2021,46
city36,2003,32
city36,2004,33
city36,2005,46
city36,2006,47
city36,2007,47
city36,2008,48
city36,2009,48
city36,2010,47
city36,2011,48
city36,2012,49
city36,2013,50
city36,2014,51
city36,2015,53
city36,2016,55
city36,2017,57
city36,2018,59
city36,2019,59
city36,2020,59
city36,2021,60
city36,2022,61
city37,2021,71
city37,2020,71
city37,2019,69
city37,2018,67
city37,2017,66
city37,2016,64
city37,2015,63
city37,2014,61
city37,2013,60
city37,2012,59
city37,2011,58
city37,2010,57
city37,2009,53
city37,2008,51
city37,2007,50
city37,2006,49
city38,2005,39
city38,2006,45
city38,2007,45
city38,2008,45
city38,2009,45
city38,2010,42
city38,2011,42
city38,2012,43
city38,2013,44
city38,2014,44
city38,2015,44
city38,2016,45
city38,2017,45
city38,2018,47
city38,2019,49
city38,2020,51
city38,2021,52
city39,2003,32
city39,2004,33
city39,2005,43
city39,2006,43
city39,2007,42
city39,2008,42
city39,2009,43
city39,2010,44
city39,2011,44
city39,2012,43
city39,2013,63
city39,2014,64
city39,2015,66
city39,2016,67
city39,2017,68
city39,2018,69
city39,2019,69
city39,2020,71
city39,2021,72
city39,2022,72
city40,2021,80
city40,2020,80
city40,2019,78
city40,2018,71
city40,2017,71
city40,2016,69
city40,2015,68
city40,2014,67
city40,2013,65
city40,2012,64
city40,2011,63
city40,2010,62
city40,2009,60
city40,2008,60
city40,2007,60
city40,2006,59
