城市名称,年份,towner_ConsumptionExpenditures
city24,2013,20031.0
city24,2014,21666.0
city24,2015,22980.0
city24,2016,26316.0
city24,2017,28536.0
city24,2018,30726.0
city24,2019,32976.0
city24,2020,26637.0
city24,2021,34389.0
city24,2022,36864.0
city25,2011,
city25,2012,
city25,2013,
city25,2014,25012.0
city25,2015,27892.0
city25,2016,29644.0
city25,2017,31584.0
city25,2018,33196.0
city25,2019,36712.0
city25,2020,38272.0
city25,2021,38700.0
city25,2022,45360.0
city27,2011,13218.0
city27,2012,15744.0
city27,2013,17985.0
city27,2014,19548.0
city27,2015,18036.0
city27,2016,19350.0
city27,2017,20721.0
city27,2018,21777.0
city27,2019,21996.0
city27,2020,23853.0
city27,2021,24048.0
city27,2022,25266.0
city28,2011,17529.0
city28,2012,19296.0
city28,2013,20391.0
city28,2014,22059.0
city28,2015,24015.0
city28,2016,26049.0
city28,2017,28284.0
city28,2018,30567.0
city28,2019,32889.0
city28,2020,29499.0
city28,2021,35934.0
city28,2022,38571.0
city29,2011,
city29,2012,
city29,2013,
city29,2014,24028.0
city29,2015,26456.0
city29,2016,28892.0
city29,2017,30020.0
city29,2018,32512.0
city29,2019,35100.0
city29,2020,37616.0
city29,2021,36128.0
city29,2022,42096.0
city31,2011,15558.0
city31,2012,17076.0
city31,2013,18447.0
city31,2014,19905.0
city31,2015,16761.0
city31,2016,18330.0
city31,2017,20457.0
city31,2018,22905.0
city31,2019,23235.0
city31,2020,25677.0
city31,2021,25476.0
city31,2022,27912.0
city32,2011,13722.0
city32,2012,15993.0
city32,2013,16917.0
city32,2014,18423.0
city32,2015,19902.0
city32,2016,22119.0
city32,2017,23697.0
city32,2018,25260.0
city32,2019,26973.0
city32,2020,24537.0
city32,2021,29469.0
city32,2022,31674.0
city35,2011,11823.0
city35,2012,14055.0
city35,2013,15615.0
city35,2014,17115.0
city35,2015,15921.0
city35,2016,17091.0
city35,2017,18414.0
city35,2018,20013.0
city35,2019,20214.0
city35,2020,21057.0
city35,2021,21006.0
city35,2022,23268.0
city36,2011,11409.0
city36,2012,13461.0
city36,2013,14916.0
city36,2014,16200.0
city36,2015,17586.0
city36,2016,14742.0
city36,2017,15930.0
city36,2018,17247.0
city36,2019,18546.0
city36,2020,15822.0
city36,2021,20370.0
city36,2022,22029.0
city38,2011,12162.0
city38,2012,14019.0
city38,2013,15726.0
city38,2014,17160.0
city38,2015,15213.0
city38,2016,16359.0
city38,2017,17880.0
city38,2018,18945.0
city38,2019,19983.0
city38,2020,21684.0
city38,2021,20988.0
city38,2022,23028.0
city39,2011,14742.0
city39,2012,17529.0
city39,2013,18000.0
city39,2014,19566.0
city39,2015,21924.0
city39,2016,23139.0
city39,2017,24876.0
city39,2018,26871.0
city39,2019,28899.0
city39,2020,25359.0
city39,2021,31284.0
city39,2022,33525.0
