城市名称,年份,rural_disposableIcome
city21,2013,
city21,2014,35763.0
city21,2015,39237.0
city21,2016,42642.0
city21,2017,46116.0
city21,2018,49830.0
city21,2019,54348.0
city21,2020,59259.0
city21,2021,61878.0
city21,2022,67707.0
city22,2011,
city22,2012,
city22,2013,
city22,2014,16530.0
city22,2015,17661.0
city22,2016,19482.0
city22,2017,21156.0
city22,2018,23133.0
city22,2019,25263.0
city22,2020,27636.0
city22,2021,29619.0
city22,2022,32700.0
city23,2011,10185.0
city23,2012,11856.0
city23,2013,13398.0
city23,2014,14940.0
city23,2015,18393.0
city23,2016,20508.0
city23,2017,22887.0
city23,2018,23496.0
city23,2019,26196.0
city23,2020,29067.0
city23,2021,31116.0
city23,2022,34392.0
city25,2011,
city25,2012,
city25,2013,
city25,2014,34656.0
city25,2015,38073.0
city25,2016,41373.0
city25,2017,44640.0
city25,2018,48231.0
city25,2019,52401.0
city25,2020,56982.0
city25,2021,59952.0
city25,2022,65436.0
city27,2011,6516.0
city27,2012,7893.0
city27,2013,9030.0
city27,2014,10095.0
city27,2015,11190.0
city27,2016,12453.0
city27,2017,13662.0
city27,2018,14904.0
city27,2019,16245.0
city27,2020,17733.0
city27,2021,18960.0
city27,2022,20817.0
city29,2011,
city29,2012,
city29,2013,
city29,2014,28215.0
city29,2015,30948.0
city29,2016,33786.0
city29,2017,36915.0
city29,2018,40437.0
city29,2019,43971.0
city29,2020,47988.0
city29,2021,50643.0
city29,2022,55497.0
city30,2011,
city30,2012,
city30,2013,
city30,2014,
city30,2015,11697.0
city30,2016,12777.0
city30,2017,13932.0
city30,2018,15273.0
city30,2019,16605.0
city30,2020,18060.0
city30,2021,19236.0
city30,2022,21372.0
city31,2011,8586.0
city31,2012,9993.0
city31,2013,11343.0
city31,2014,12684.0
city31,2015,12744.0
city31,2016,13815.0
city31,2017,15225.0
city31,2018,16473.0
city31,2019,18153.0
city31,2020,19872.0
city31,2021,21129.0
city31,2022,23376.0
city33,2011,
city33,2012,
city33,2013,
city33,2014,30600.0
city33,2015,33477.0
city33,2016,36459.0
city33,2017,39600.0
city33,2018,43185.0
city33,2019,46920.0
city33,2020,51489.0
city33,2021,54024.0
city33,2022,59586.0
city35,2011,6909.0
city35,2012,8256.0
city35,2013,9561.0
city35,2014,10689.0
city35,2015,11379.0
city35,2016,12405.0
city35,2017,13335.0
city35,2018,14481.0
city35,2019,15888.0
city35,2020,17340.0
city35,2021,18756.0
city35,2022,20691.0
city38,2011,7524.0
city38,2012,9012.0
city38,2013,10365.0
city38,2014,11661.0
city38,2015,12642.0
city38,2016,13980.0
city38,2017,15114.0
city38,2018,16428.0
city38,2019,17694.0
city38,2020,19215.0
city38,2021,20625.0
city38,2022,22686.0
