城市名称,年份,towner_disposableIcome
city19,2021,61545.0
city19,2022,67370.0
city20,2011,
city20,2012,
city20,2013,
city20,2014,27980.0
city20,2015,30580.0
city20,2016,33210.0
city20,2017,36185.0
city20,2018,39575.0
city20,2019,43125.0
city20,2020,46930.0
city20,2021,49300.0
city20,2022,54575.0
city21,2011,
city21,2012,
city21,2013,
city21,2014,40923.0
city21,2015,44631.0
city21,2016,48315.0
city21,2017,52185.0
city21,2018,56274.0
city21,2019,61170.0
city21,2020,66066.0
city21,2021,68664.0
city21,2022,74700.0
ctiy22,2011,28311.0
ctiy22,2012,32199.0
ctiy22,2013,36321.0
ctiy22,2014,39879.0
ctiy22,2015,42567.0
ctiy22,2016,46104.0
ctiy22,2017,49995.0
ctiy22,2018,54537.0
ctiy22,2019,59307.0
ctiy22,2020,64371.0
ctiy22,2021,67551.0
ctiy22,2022,73593.0
city23,2011,25380.0
city23,2012,28728.0
city23,2013,32976.0
city23,2014,36372.0
city23,2015,35286.0
city23,2016,38322.0
city23,2017,42537.0
city23,2018,46824.0
city23,2019,50712.0
city23,2020,55218.0
city23,2021,58473.0
city23,2022,64233.0
city24,2011,25320.0
city24,2012,28890.0
city24,2013,32568.0
city24,2014,35646.0
city24,2015,38760.0
city24,2016,39888.0
city24,2017,43050.0
city24,2018,46641.0
city24,2019,50145.0
city24,2020,41472.0
city24,2021,53328.0
city24,2022,57447.0
city25,2011,
city25,2012,
city25,2013,
city25,2014,40425.0
city25,2015,44154.0
city25,2016,47850.0
city25,2017,51558.0
city25,2018,55656.0
city25,2019,60132.0
city25,2020,64884.0
city25,2021,68007.0
city25,2022,73869.0
city27,2011,15177.0
city27,2012,17472.0
city27,2013,20022.0
city27,2014,22206.0
city27,2015,21444.0
city27,2016,23259.0
city27,2017,25119.0
city27,2018,27174.0
city27,2019,29076.0
city27,2020,31413.0
city27,2021,32919.0
city27,2022,35598.0
city28,2011,24996.0
city28,2012,28566.0
city28,2013,32142.0
city28,2014,35226.0
city28,2015,38292.0
city28,2016,40368.0
city28,2017,43596.0
city28,2018,47175.0
city28,2019,50817.0
city28,2020,45450.0
city28,2021,55902.0
city28,2022,60237.0
city29,2011,
city29,2012,
city29,2013,
city29,2014,36480.0
city29,2015,39762.0
city29,2016,43266.0
city29,2017,47160.0
city29,2018,51372.0
city29,2019,55704.0
city29,2020,60351.0
city29,2021,62598.0
city29,2022,68052.0
city30,2011,
city30,2012,
city30,2013,24342.0
city30,2014,26898.0
city30,2015,23595.0
city30,2016,25728.0
city30,2017,27852.0
city30,2018,30291.0
city30,2019,32748.0
city30,2020,35388.0
city30,2021,36720.0
city30,2022,39861.0
ctiy31,2011,21150.0
ctiy31,2012,23922.0
ctiy31,2013,27015.0
ctiy31,2014,29772.0
ctiy31,2015,24975.0
ctiy31,2016,27114.0
ctiy31,2017,29556.0
ctiy31,2018,32475.0
ctiy31,2019,35463.0
ctiy31,2020,38595.0
ctiy31,2021,39921.0
ctiy31,2022,43620.0
city32,2011,21783.0
city32,2012,24954.0
city32,2013,28188.0
city32,2014,30888.0
city32,2015,33534.0
city32,2016,33792.0
city32,2017,36435.0
city32,2018,39408.0
city32,2019,42276.0
city32,2020,37542.0
city32,2021,46413.0
city32,2022,50094.0
city35,2011,15303.0
city35,2012,17583.0
city35,2013,20226.0
city35,2014,22371.0
city35,2015,21315.0
city35,2016,23127.0
city35,2017,24885.0
city35,2018,27117.0
city35,2019,29046.0
city35,2020,31239.0
city35,2021,32925.0
city35,2022,35988.0
city36,2011,17628.0
city36,2012,20193.0
city36,2013,22959.0
city36,2014,25236.0
city36,2015,27594.0
city36,2016,25791.0
city36,2017,27705.0
city36,2018,29922.0
city36,2019,32001.0
city36,2020,26289.0
city36,2021,35097.0
city36,2022,37842.0
city38,2011,16830.0
city38,2012,19038.0
city38,2013,21753.0
city38,2014,23928.0
city38,2015,21723.0
city38,2016,23745.0
city38,2017,25905.0
city38,2018,28275.0
city38,2019,30678.0
city38,2020,33258.0
city38,2021,34752.0
city38,2022,37791.0
city39,2011,23793.0
city39,2012,27342.0
city39,2013,30951.0
city39,2014,33981.0
city39,2015,36939.0
city39,2016,38733.0
city39,2017,41577.0
city39,2018,44763.0
city39,2019,47910.0
city39,2020,40602.0
city39,2021,52683.0
city39,2022,56625.0
